Congo (Kinshasa);=0,0
Burundi;=0,0153
Malawi;=0,01604
Niger;=0,0694
Liberia;=0,0712
Central African Republic;=0,0785
Mozambique;=0,08308
Guinea;=0,17417
Somaliland region;=0,18847
Ethiopia;=0,19073
Madagascar;=0,20824
Togo;=0,20868
Uganda;=0,21102
Rwanda;=0,22208
Comoros;=0,23906
Burkina Faso;=0,25812
Mali;=0,26074
Haiti;=0,26673
Zimbabwe;=0,271
Myanmar;=0,27108
Tanzania;=0,2852
Benin;=0,28665
Afghanistan;=0,31982
Sierra Leone;=0,33024
Chad;=0,34193
Nepal;=0,35997
Kenya;=0,36471
Senegal;=0,36498
Lesotho;=0,37545
Tajikistan;=0,39047
Bangladesh;=0,39753
Cameroon;=0,4225
Djibouti;=0,44025
Mauritania;=0,45407
Cambodia;=0,46038
Ivory Coast;=0,46534
Zambia;=0,47038
Kyrgyzstan;=0,47428
Sudan;=0,52107
Ghana;=0,54558
Yemen;=0,54649
Laos;=0,59066
Nicaragua;=0,59325
Moldova;=0,59448
Honduras;=0,59532
Pakistan;=0,59543
Palestinian Territories;=0,59867
Vietnam;=0,63216
Uzbekistan;=0,63244
India;=0,64499
Nigeria;=0,65435
Syria;=0,6632
Congo (Brazzaville);=0,67866
Bolivia;=0,68133
Philippines;=0,70532
Swaziland;=0,71206
Morocco;=0,73479
Georgia;=0,7419
Guatemala;=0,74553
Angola;=0,75778
Paraguay;=0,75985
El Salvador;=0,76454
Armenia;=0,76821
Bhutan;=0,77042
Ukraine;=0,79907
Kosovo;=0,80148
Jamaica;=0,81038
Mongolia;=0,82819
Indonesia;=0,82827
Bosnia and Herzegovina;=0,83223
Sri Lanka;=0,83524
Ecuador;=0,86402
Albania;=0,87867
Tunisia;=0,88113
Egypt;=0,8818
China;=0,89012
Dominican Republic;=0,89537
Peru;=0,90019
Jordan;=0,90198
Macedonia;=0,91851
Colombia;=0,91861
South Africa;=0,92049
Serbia;=0,92053
Algeria;=0,93929
Costa Rica;=0,95578
Turkmenistan;=0,95847
Thailand;=0,9669
Montenegro;=0,97438
Brazil;=0,98124
Iraq;=0,98549
Botswana;=0,99355
Suriname;=0,99534
Mauritius;=1,00761
Iran;=1,0088
Bulgaria;=1,01216
Mexico;=1,02054
Azerbaijan;=1,02389
Lebanon;=1,02564
Belarus;=1,03192
Romania;=1,04345
Venezuela;=1,04424
Argentina;=1,05351
Gabon;=1,06024
Turkey;=1,06098
Uruguay;=1,06166
Panama;=1,06353
Croatia;=1,08254
Chile;=1,10715
Latvia;=1,11312
Hungary;=1,12094
Kazakhstan;=1,12254
Malaysia;=1,12486
Poland;=1,12555
Libya;=1,13145
Russia;=1,13764
Lithuania;=1,14723
Estonia;=1,15174
Greece;=1,15406
Portugal;=1,15991
Slovakia;=1,16891
Czech Republic;=1,17898
Slovenia;=1,18498
Malta;=1,2074
North Cyprus;=1,20806
Cyprus;=1,20813
Trinidad and Tobago;=1,21183
Israel;=1,22857
Spain;=1,23011
South Korea;=1,24461
New Zealand;=1,25018
Italy;=1,25114
United Kingdom;=1,26637
Japan;=1,27074
France;=1,27778
Finland;=1,29025
Taiwan;=1,29098
Iceland;=1,30232
Belgium;=1,30782
Bahrain;=1,32376
Denmark;=1,32548
Canada;=1,32629
Germany;=1,32792
Netherlands;=1,32944
Sweden;=1,33171
Australia;=1,33358
Ireland;=1,33596
Austria;=1,33723
Oman;=1,36011
Hong Kong;=1,38604
United States;=1,39451
Saudi Arabia;=1,39541
Switzerland;=1,39651
United Arab Emirates;=1,42727
Norway;=1,459
Singapore;=1,52186
Kuwait;=1,55422
Luxembourg;=1,56391
Qatar;=1,69042
